id,brand,model,model_year,milage,fuel_type,engine,transmission,ext_col,int_col,accident,clean_title,price
84574,Audi,S4 3.0T Premium Plus,2014,60000,Gasoline,333.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Gray,Black,At least 1 accident or damage reported,Yes,18000
38668,INFINITI,QX80 Luxe,2020,69000,Gasoline,400.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Beige,None reported,Yes,45000
103657,Mercedes-Benz,CLK-Class CLK 350,2008,120000,Gasoline,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,5-Speed A/T,White,Beige,None reported,Yes,10000
50289,BMW,X5 xDrive 35i Sport Activity,2018,57785,Gasoline,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,A/T,White,White,At least 1 accident or damage reported,Yes,24700
174679,BMW,440 i xDrive,2016,60000,Gasoline,335.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Blue,Beige,None reported,Yes,28000
117818,Ford,Explorer XLT,2015,163000,Gasoline,300.0HP 2.3L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Blue,Black,None reported,Yes,17000
14575,Jeep,Gladiator Rubicon,2022,16900,Gasoline,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,Yes,54000
6660,Tesla,Model X 75D,2017,15600,,518.0HP Electric Motor Electric Fuel System,A/T,Blue,Red,None reported,Yes,51000
63315,BMW,M4 Base,2015,53450,Gasoline,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Silver,None reported,Yes,30000
150207,Toyota,Tacoma PreRunner,2008,148740,Gasoline,236.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Beige,At least 1 accident or damage reported,Yes,12900
158850,Chevrolet,Express 3500 Base,2008,170000,Gasoline,323.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,Yes,19500
57757,Chevrolet,Silverado 1500 2LT,2020,124225,E85 Flex Fuel,3.6L V6 24V MPFI DOHC Flexible Fuel,Automatic,Agate Black Metallic,Black,None reported,Yes,44791
53717,BMW,M5 Base,2018,56000,Gasoline,600.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,White,At least 1 accident or damage reported,Yes,33000
30054,GMC,Yukon XL Denali,2017,50780,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,Yes,52000
156330,Audi,A4 2.0T Premium Plus quattro,2012,83420,Gasoline,211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,Gray,None reported,Yes,27000
64782,Jeep,Liberty Renegade,2011,95000,Gasoline,210.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Red,None reported,Yes,18400
96757,BMW,M4 Base,2020,18000,Gasoline,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Orange,None reported,Yes,16000
143974,Kia,Telluride SX,2022,6900,Gasoline,291.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,Gray,None reported,,46750
7524,Mazda,MX-5 Miata Base,1999,120000,Gasoline,140.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,5-Speed M/T,Red,–,At least 1 accident or damage reported,Yes,6000
90934,Kia,Sorento LX,2014,157530,Gasoline,2.4L I4 16V GDI DOHC,6-Speed Automatic,Snow White Pearl,Satin Black,None reported,,14195
72354,Land,Rover Range Rover Sport HSE,2008,110000,Gasoline,300.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Black,At least 1 accident or damage reported,Yes,6000
272,Jeep,Grand Cherokee L Laredo,2020,49810,Gasoline,3.6L V6 24V GDI DOHC,8-Speed Automatic,Granite Crystal Clearcoat Metallic,Black,None reported,,47500
128151,Land,Rover Range Rover HSE,2011,174678,Gasoline,230.0HP 3.2L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Blue,Beige,None reported,Yes,7500
96679,Audi,Q5 3.0 TDI Premium Plus,2010,63866,Diesel,240.0HP 3.0L V6 Cylinder Engine Diesel Fuel,8-Speed A/T,Black,Black,None reported,Yes,19999
80213,Rivian,R1S Adventure Package,2023,8681,,835.0HP Electric Motor Electric Fuel System,A/T,Green,Black,None reported,Yes,89000
124626,Lexus,LX 570 Three-Row,2022,1160,Gasoline,383.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,91500
182446,Chevrolet,Corvette Stingray w/2LT,2021,2750,Gasoline,490.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Silver,Red,None reported,Yes,54900
177632,Subaru,Impreza WRX STI,2011,81200,Gasoline,175.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Yellow,Black,None reported,Yes,6950
147470,Porsche,718 Boxster S,2017,68749,Gasoline,350.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Black,None reported,Yes,20999
106762,BMW,M3 Base,2001,72277,Gasoline,333.0HP 3.2L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Blue,Gray,None reported,Yes,28500
127282,Lexus,ES 350 Base,2013,89000,Gasoline,302.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Beige,None reported,Yes,18000
59067,RAM,1500 Laramie,2020,139116,Gasoline,5.7L V8 16V MPFI OHV,8-Speed Automatic,Diamond Black,Black,None reported,,27450
169066,Chevrolet,Suburban LT,2018,67500,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Gray,Black,None reported,Yes,36800
2718,GMC,Sierra 2500 Denali,2021,4500,Gasoline,401.0HP 6.6L 8 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,Yes,99900
137698,RAM,2500 Big Horn,2014,84500,Gasoline,410.0HP 6.4L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Brown,At least 1 accident or damage reported,Yes,21800
55174,Lexus,GX 460 Base,2016,70000,Gasoline,301.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Beige,At least 1 accident or damage reported,Yes,24995
96789,Land,Rover Range Rover Evoque HSE Dynamic,2016,79000,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,9-Speed A/T,Red,Beige,None reported,Yes,23500
159432,Mercedes-Benz,C-Class C300 4MATIC,2021,2492,Gasoline,2.0 Liter Turbo,Automatic,Obsidian Black Metallic,Beige,None reported,,83598
50452,Mercedes-Benz,C-Class C 300 4MATIC Sport,2016,59700,Gasoline,241.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Black,None reported,Yes,173995
168539,Porsche,911 Turbo Cabriolet,2008,13500,Gasoline,480.0HP 3.6L Flat 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Black,At least 1 accident or damage reported,Yes,10000
151620,BMW,M3 Base,2015,107481,Gasoline,414.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,16000
144783,Lexus,LX 570 Three-Row,2023,15000,Gasoline,383.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,63500
102065,Toyota,86 860 Special Edition,2013,87500,Gasoline,200.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,5-Speed A/T,White,Gray,None reported,Yes,17550
14355,Lexus,GX 460 Premium,2014,51300,Gasoline,301.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Gray,Beige,None reported,Yes,29645
58401,Lexus,GX 460 Base,2017,82000,Gasoline,301.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,A/T,White,Beige,At least 1 accident or damage reported,Yes,31999
164178,Porsche,911 Carrera S,2016,15198,Gasoline,3.0 Liter,Automatic,Red,–,None reported,,18998
166506,Tesla,Model 3 Performance,2021,31000,Gasoline,455.0HP Electric Motor Electric Fuel System,A/T,White,White,None reported,Yes,34900
178599,BMW,740 i,2013,74600,Gasoline,320.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,19975
79390,BMW,335 is,2012,69764,Gasoline,320.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Gray,Black,None reported,Yes,22000
123128,Mercedes-Benz,AMG G AMG G 63 4MATIC,2017,2800,Gasoline,563.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,White,None reported,Yes,80300
50866,GMC,Acadia Denali,2021,43329,Gasoline,2.0L I4 16V GDI DOHC Turbo,9-Speed Automatic,Metallic,Jet Black,None reported,,36139
88703,Porsche,911 Carrera,2018,61600,Gasoline,350.0HP 3.4L Flat 6 Cylinder Engine Gasoline Fuel,7-Speed M/T,Black,Black,At least 1 accident or damage reported,Yes,52500
47199,INFINITI,QX60 Base,2016,87009,Gasoline,265.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,White,Beige,None reported,Yes,17498
30726,Nissan,Titan SV,2022,7396,Gasoline,5.6L V8 32V GDI DOHC,9-Speed Automatic,Black,Black,None reported,,70999
114134,Audi,RS 7 4.0T Prestige,2017,3921,Gasoline,560.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Black,None reported,Yes,57300
89358,Mercedes-Benz,AMG C 63 S,2019,41000,Gasoline,503.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,9-Speed A/T,White,Black,None reported,Yes,38000
180463,Audi,A7 3.0T Premium Plus,2013,89148,Gasoline,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Brown,Beige,None reported,Yes,19500
47171,Chevrolet,Camaro 2SS,2007,150000,Gasoline,426.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Red,Black,None reported,Yes,5000
41058,Dodge,Ram 1500 Laramie Mega Cab,1994,45000,–,–,4-Speed A/T,White,Gray,None reported,Yes,90200
31340,GMC,Sierra 1500 SLT,2020,29000,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,Yes,68000
67828,Toyota,Highlander Limited,2012,54000,Gasoline,270.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,White,Gray,None reported,Yes,25000
10106,Porsche,911 Carrera 4 GTS,2023,1500,Gasoline,473.0HP 3.0L Flat 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Red,Blue,,,146000
156251,Jeep,Gladiator Overland,2020,7455,Gasoline,3.6L V6 24V MPFI DOHC,8-Speed Automatic,Firecracker Red Clearcoat,Black,None reported,,36994
2538,Mazda,MX-5 Miata RF Grand Touring,2017,52105,Gasoline,201.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,White,Black,None reported,Yes,20199
128753,INFINITI,QX80 Luxe,2020,20000,Gasoline,400.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,A/T,White,Beige,None reported,Yes,77897
101740,Mercedes-Benz,E-Class E 350 4MATIC,2011,84450,Gasoline,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Gray,Black,None reported,Yes,20000
37273,Audi,Q7 3.0T Premium Plus,2016,129567,Gasoline,333.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Silver,Black,None reported,Yes,25000
144624,INFINITI,Q60 3.0t Red Sport 400,2022,19800,Gasoline,400.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,–,None reported,Yes,107900
157714,Chevrolet,Camaro 2SS,2016,52675,Gasoline,455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Black,None reported,Yes,52500
178902,Mercedes-Benz,GL-Class GL 550 4MATIC,2018,30455,Gasoline,4.7 Liter Twin Turbo,Automatic,Black,Black,None reported,,37405
102662,MINI,Cooper S Base,2006,118000,Gasoline,172.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Red,Gray,None reported,Yes,3500
137570,Honda,Civic EX,2010,80800,Gasoline,140.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,A/T,Red,–,At least 1 accident or damage reported,Yes,12900
142399,Mercedes-Benz,GL-Class GL 450 4MATIC,2015,15198,Gasoline,362.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Black,None reported,Yes,33000
113934,BMW,328 i xDrive,2015,95426,Gasoline,230.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Silver,Beige,At least 1 accident or damage reported,Yes,15000
153377,Ford,Expedition Limited,2015,72500,Gasoline,365.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Silver,Beige,None reported,Yes,27500
78585,Ford,Mustang EcoBoost Premium,2017,43000,–,–,6-Speed M/T,Gray,Black,At least 1 accident or damage reported,Yes,22000
127462,Land,Rover Range Rover Sport Supercharged HSE,2017,50340,Gasoline,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,White,Brown,None reported,Yes,46000
8804,Tesla,Model Y Performance,2016,67072,,455.0HP Electric Motor Electric Fuel System,A/T,White,Black,None reported,Yes,22000
133208,Chevrolet,Camaro 1SS,2015,74000,Gasoline,455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Yellow,Black,None reported,Yes,19996
71172,Audi,A6 2.0T Sport,2015,102000,Gasoline,211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,Silver,Gray,None reported,Yes,19500
110896,Mazda,CX-9 Grand Touring,2016,69250,Gasoline,273.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Silver,–,None reported,Yes,15500
94269,Ford,E350 Super Duty XLT,2010,194500,E85 Flex Fuel,255.0HP 5.4L 8 Cylinder Engine Flex Fuel Capability,A/T,Gold,Beige,At least 1 accident or damage reported,Yes,9995
12169,Ford,Bronco Outer Banks Advanced,2023,1400,Gasoline,315.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,White,Black,None reported,Yes,62900
55281,Volkswagen,New Beetle GLS,2002,125900,Gasoline,170.0HP 2.5L 5 Cylinder Engine Gasoline Fuel,A/T,Yellow,Yellow,None reported,Yes,14900
114982,McLaren,570S Spider,2020,15000,Gasoline,562.0HP 3.8L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,139000
157143,Toyota,Tundra Platinum,2022,8660,Diesel,389.0HP 3.4L V6 Cylinder Engine Gasoline Fuel,A/T,Red,Black,None reported,Yes,53000
145079,Audi,A3 2.0T Premium,2012,90818,Gasoline,200.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Black,None reported,Yes,14000
58289,RAM,1500 Rebel,2019,67800,Gasoline,305.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Gray,None reported,Yes,42500
8401,Porsche,911 Carrera,2012,80000,Gasoline,350.0HP 3.4L Flat 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,White,Black,,,37500
775,Subaru,Outback 2.5i Limited,2015,157530,Gasoline,173.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,Automatic CVT,Twilight Blue Metallic,Black,At least 1 accident or damage reported,Yes,12433
152055,Porsche,911 Carrera Cabriolet,2001,28000,Gasoline,300.0HP 3.4L Flat 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Black,None reported,Yes,51999
161521,Land,Rover LR3 HSE,2006,116157,Gasoline,230.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Gray,Black,None reported,Yes,10000
150094,Mazda,CX-30 Premium Package,2023,61830,Gasoline,2.5L I4 16V GDI DOHC,Automatic,Platinum Quartz Metallic,Black,At least 1 accident or damage reported,,30919
87518,RAM,ProMaster 3500 High Roof,2021,77856,Gasoline,3.6L V6 24V MPFI DOHC,Automatic CVT,Bright White Clearcoat,Black,None reported,Yes,32662
13494,Nissan,Xterra S,2008,159870,Gasoline,261.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Blue,Gray,At least 1 accident or damage reported,Yes,8900
115417,Buick,Enclave Premium,2021,35943,Gasoline,3.6L V6 24V GDI DOHC,9-Speed Automatic,Dark Moon Blue Metallic,Ebony,None reported,Yes,45950
109342,Chevrolet,Yukon SLE,2019,84220,Gasoline,5.3L V8 16V GDI OHV,Automatic,Summit White,Jet Black,At least 1 accident or damage reported,Yes,47645
21239,Chevrolet,Corvette Stingray w/3LT,2020,2000,Gasoline,490.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Green,Black,None reported,Yes,45000
56658,Mercedes-Benz,C-Class C 300 4MATIC Sport,2022,7800,Gasoline,241.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,9-Speed A/T,White,Beige,None reported,Yes,27500
71274,Land,Rover Range Rover Sport HSE,2017,8681,Gasoline,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,42000
52915,Acura,TLX Type S w/Performance Tire,2023,2950,Gasoline,355.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,Red,Black,None reported,Yes,124900
48386,BMW,M240 i,2011,90000,Gasoline,335.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Gray,At least 1 accident or damage reported,Yes,12500
36484,Mercedes-Benz,SL-Class SL 550,2018,65019,Gasoline,4.7 Liter Twin Turbo,Automatic,White,Beige,None reported,,36998
116948,BMW,M760 i xDrive,2023,4785,Gasoline,601.0HP 6.6L 12 Cylinder Engine Gasoline Fuel,Automatic,Black,Black,None reported,Yes,79998
141103,Maserati,Levante S,2021,8400,Gasoline,424.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Beige,None reported,Yes,53800
179753,Audi,RS 7 4.0T Prestige,2015,29850,Gasoline,550.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,Yes,59750
63167,Lamborghini,Huracan LP580-2S,2018,23344,Gasoline,5.2L V10 40V GDI DOHC,7-Speed Automatic,Rosso Mars Metallic,Nero Ade,None reported,,39853
148808,Land,Rover LR4 HSE LUX Landmark Edition,2017,73350,Gasoline,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Beige,None reported,Yes,21750
164353,RAM,2500 SLT,2017,63875,Gasoline,410.0HP 6.4L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Gray,At least 1 accident or damage reported,Yes,42000
188055,Pontiac,Firebird Trans Am,2001,61450,Gasoline,200.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,4-Speed A/T,Black,Black,None reported,Yes,6500
127502,Porsche,Boxster Base,2003,138202,Gasoline,3.2L H6 24V MPFI DOHC,6-Speed Manual,Black,Black / Stone Grey,None reported,Yes,6099
114505,Alfa,Romeo Giulia Ti,2020,3771,Gasoline,2.0L I4 16V GDI SOHC Turbo,8-Speed Automatic,Verde,Black,,,27900
117425,Lexus,RX 350 Base,2016,51338,Gasoline,3.5L V6 24V PDI DOHC,8-Speed Automatic,Atomic Silver,Black,None reported,,22222
179007,McLaren,570S Spider,2021,1087,Gasoline,3.8L V8 32V MPFI DOHC Twin Turbo,7-Speed Automatic with Auto-Shift,Vega Blue,Black,None reported,,35999
19604,Audi,A6 3.0 TDI Premium Plus,2012,141933,Diesel,240.0HP 3.0L V6 Cylinder Engine Diesel Fuel,6-Speed A/T,Black,Black,None reported,Yes,8900
109358,Tesla,Model 3 Long Range,2021,10065,,Dual Motor - Standard,Automatic,Silver,Black,None reported,,57619
67672,Jeep,Wrangler Sahara,2011,162000,Gasoline,190.0HP 4.0L Straight 6 Cylinder Engine Gasoline Fuel,5-Speed A/T,Black,Black,None reported,Yes,4995
31867,Tesla,Model Y Performance,2022,4786,,455.0HP Electric Motor Electric Fuel System,A/T,White,White,None reported,Yes,53900
102894,Hyundai,Santa Fe SE,2021,35550,Gasoline,2.5L I4 16V PDI DOHC Turbo,8-Speed Automatic,Twilight Black,Black,None reported,,27599
70414,Nissan,SLK-Class SLK320,1999,59500,Gasoline,215.0HP 3.2L V6 Cylinder Engine Gasoline Fuel,5-Speed M/T,Red,Black,None reported,Yes,11900
33582,Ford,Mustang Premium,2006,170000,Gasoline,210.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Black,At least 1 accident or damage reported,Yes,4000
107759,Chevrolet,Corvette Stingray w/2LT,2021,9281,Gasoline,490.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Beige,None reported,Yes,52000
71434,Land,Rover Range Rover P525 HSE SWB,2020,51000,Gasoline,518.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,Gray,None reported,Yes,89999
181228,Ford,Bronco Badlands Advanced,2022,16280,Gasoline,275.0HP 2.3L 4 Cylinder Engine Gasoline Fuel,10-Speed A/T,Gray,Ebony,None reported,Yes,25215
76883,Hyundai,Genesis 3.8,2015,98600,Gasoline,311.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Black,At least 1 accident or damage reported,Yes,24500
39677,Bentley,Continental GT W12,2020,20500,Gasoline,600.0HP 6.0L 12 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,Yes,49000
110558,Audi,Q5 2.0T Premium Plus,2015,64864,E85 Flex Fuel,220.0HP 2.0L 4 Cylinder Engine Flex Fuel Capability,A/T,Black,Black,At least 1 accident or damage reported,Yes,21900
56877,Lamborghini,Gallardo SE,2003,177600,Gasoline,493.0HP 5.0L 10 Cylinder Engine Gasoline Fuel,A/T,Brown,Beige,None reported,Yes,7500
82759,Lexus,RX 330 Base,2006,165000,Gasoline,230.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,A/T,Silver,Beige,At least 1 accident or damage reported,Yes,4000
113720,Lexus,IS 350 Base,2014,128000,Gasoline,306.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Blue,Black,None reported,Yes,21000
96992,Land,Rover Discovery Sport S R-Dynamic,2022,25300,Hybrid,375.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,9-Speed A/T,Black,Beige,None reported,Yes,50500
52882,Ford,F-250 Lariat,2014,136400,Diesel,440.0HP 6.7L 8 Cylinder Engine Diesel Fuel,A/T,Black,Black,None reported,Yes,13599
29359,Kia,Telluride SX,2023,10400,Gasoline,291.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,Yes,42700
151088,Bentley,Arnage R,2021,16648,Gasoline,4.0L V8 32V GDI DOHC Twin Turbo,8-Speed Automatic,Santorini Black Metallic,Black,None reported,,87000
132070,BMW,M3 Base,2008,101000,Gasoline,333.0HP 3.2L Straight 6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,7500
130659,Mercedes-Benz,AMG C 43 Base 4MATIC,2018,60000,Gasoline,362.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,9-Speed A/T,White,Black,At least 1 accident or damage reported,Yes,25500
110753,Mercedes-Benz,AMG E 53 Base 4MATIC,2019,17900,Hybrid,603.0HP 4.0L 8 Cylinder Engine Gasoline/Mild Electric Hybrid,9-Speed A/T,Gray,Black,None reported,Yes,259500
160335,BMW,335 i,2018,71400,Gasoline,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,White,Red,None reported,Yes,27999
122356,Cadillac,Escalade ESV Luxury,2015,74000,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,White,Brown,None reported,Yes,18500
1430,Toyota,Tundra SR5,2016,119000,Gasoline,381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,None reported,Yes,23000
24681,Mercedes-Benz,AMG G 63 Base,2018,3811,Gasoline,563.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,White,Black,None reported,Yes,75000
127126,Tesla,Model S Long Range,2018,50780,,422.0HP Electric Motor Electric Fuel System,A/T,White,Black,None reported,Yes,23500
55348,Lexus,GS 350 Base,2013,127500,Gasoline,303.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,17000
73886,Lincoln,MKZ Reserve I,2016,44200,Gasoline,245.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Beige,None reported,Yes,2899
12896,BMW,M6 Gran Coupe Base,2019,25000,Gasoline,560.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Black,At least 1 accident or damage reported,Yes,66000
86956,Audi,S5 3.0T Prestige,2019,4200,Gasoline,349.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,White,Gray,None reported,Yes,29000
146810,Lincoln,Navigator Reserve,2019,39000,Gasoline,450.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,Red,Beige,None reported,Yes,27499
51314,Mercedes-Benz,AMG GLE AMG GLE 63 S-Model 4MATIC,2020,4700,,577.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,Automatic,Black,White,None reported,,41598
28097,Mercedes-Benz,SL-Class SL 550,2015,11249,Gasoline,429.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Beige,At least 1 accident or damage reported,Yes,30000
153828,Ford,Utility Police Interceptor Base,2014,202000,E85 Flex Fuel,300.0HP 3.7L V6 Cylinder Engine Flex Fuel Capability,6-Speed A/T,Gold,Beige,At least 1 accident or damage reported,Yes,17899
16929,Dodge,Charger R/T,2005,80000,Gasoline,350.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Black,None reported,Yes,14500
109208,Mercedes-Benz,E-Class E 350 4MATIC,2015,76500,Gasoline,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Gray,Beige,None reported,Yes,29000
133385,Porsche,911 Carrera,2007,132500,Gasoline,300.0HP 3.4L Flat 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Silver,Black,None reported,Yes,8250
177875,Porsche,Cayenne Turbo S,2015,65800,Gasoline,550.0HP 4.8L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Black,None reported,Yes,42500
122052,Ford,Explorer XLT,2014,169000,Gasoline,290.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Beige,At least 1 accident or damage reported,Yes,12800
179667,Hummer,H3 Base,2007,175722,Gasoline,242.0HP 3.7L 5 Cylinder Engine Gasoline Fuel,A/T,Red,Black,At least 1 accident or damage reported,Yes,10000
125523,BMW,X7 ALPINA XB7,2022,15109,Gasoline,4.4 Liter Twin Turbo,Automatic,Gray,Gray,None reported,,79998
41494,BMW,650 i,2007,101000,Gasoline,360.0HP 4.8L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Beige,None reported,Yes,25980
10922,BMW,750 i xDrive,2019,59980,Gasoline,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,Yes,58500
